"id_D";"montant";"id_paiement"
"20170001";"550";"1"
"20170001";"82.72";"2"
"20170001";"780";"3"
"20170001";"360";"4"
"20170002";"280";"1"
"20170002";"0";"2"
"20170002";"300";"3"
"20170002";"120";"4"
"20170003";"400";"1"
"20170003";"272.3";"2"
"20170003";"180";"3"
"20170003";"100";"4"
"20170004";"270";"1"
"20170004";"164.3";"2"
"20170004";"1310";"3"
"20170004";"40";"4"
"20170005";"290";"1"
"20170005";"206.1";"2"
"20170005";"820";"3"
"20170005";"200";"4"
"20170006";"510";"1"
"20170006";"40.66";"2"
"20170006";"1050";"3"
"20170006";"210";"4"
"20170007";"410";"1"
"20170007";"162.28";"2"
"20170007";"260";"3"
"20170007";"210";"4"
"20170008";"360";"1"
"20170008";"311.2";"2"
"20170008";"560";"3"
"20170008";"40";"4"
"20170011";"290";"1"
"20170011";"243.24";"2"
"20170011";"400";"3"
"20170011";"100";"4"
"20170012";"292.2";"1"
"20170012";"220.5";"2"
"20170012";"420";"3"
"20170012";"170";"4"
"20170013";"260";"1"
"20170013";"77.8";"2"
"20170013";"700";"3"
"20170013";"140";"4"
"20170014";"450";"1"
"20170014";"120.22";"2"
"20170014";"1220";"3"
"20170014";"40";"4"
"20170015";"310";"1"
"20170015";"341.66";"2"
"20170015";"770";"3"
"20170015";"130";"4"
"20170016";"270";"1"
"20170016";"269.32";"2"
"20170016";"840";"3"
"20170016";"0";"4"
"20170017";"560";"1"
"20170017";"121.62";"2"
"20170017";"210";"3"
"20170017";"40";"4"
"20170018";"380";"1"
"20170018";"395.32";"2"
"20170018";"560";"3"
"20170018";"80";"4"
"20170019";"330";"1"
"20170019";"236.92";"2"
"20170019";"920";"3"
"20170019";"370";"4"
"20170020";"400";"1"
"20170020";"243.86";"2"
"20170020";"770";"3"
"20170020";"230";"4"
"20170021";"540";"1"
"20170021";"118.46";"2"
"20170021";"390";"3"
"20170021";"160";"4"
"20170022";"170";"1"
"20170022";"232.7";"2"
"20170022";"610";"3"
"20170022";"80";"4"
"20170023";"320";"1"
"20170023";"116.7";"2"
"20170023";"348";"3"
"20170023";"60";"4"
"20170024";"350";"1"
"20170024";"243.96";"2"
"20170024";"900";"3"
"20170024";"290";"4"
"20170025";"370";"1"
"20170025";"0";"2"
"20170025";"120.22";"3"
"20170025";"740";"4"
"20170026";"360";"1"
"20170026";"314.08";"2"
"20170026";"1250";"3"
"20170026";"180";"4"
"20170027";"350";"1"
"20170027";"79.56";"2"
"20170027";"630";"3"
"20170027";"160";"4"
"20170028";"160";"1"
"20170028";"283.62";"2"
"20170028";"638.9";"3"
"20170028";"120";"4"
"20170029";"630";"1"
"20170029";"318.24";"2"
"20170029";"920";"3"
"20170029";"260";"4"
"20170030";"410";"1"
"20170030";"82.72";"2"
"20170030";"930";"3"
"20170030";"140";"4"
"20170031";"450";"1"
"20170031";"160.52";"2"
"20170031";"470";"3"
"20170031";"40";"4"
"20170032";"240";"1"
"20170032";"82.72";"2"
"20170032";"780";"3"
"20170032";"60";"4"
"20170033";"100";"1"
"20170033";"279.4";"2"
"20170033";"540";"3"
"20170033";"120";"4"
"20170034";"370";"1"
"20170034";"159.12";"2"
"20170034";"1110";"3"
"20170034";"160";"4"
"20170035";"160";"1"
"20170035";"302.76";"2"
"20170035";"790";"3"
"20170035";"80";"4"
"20170036";"370";"1"
"20170036";"160.52";"2"
"20170036";"950";"3"
"20170036";"180";"4"
"20170037";"640";"1"
"20170037";"235.86";"2"
"20170037";"930";"3"
"20170037";"80";"4"
"20170038";"640";"1"
"20170038";"194.5";"2"
"20170038";"280";"3"
"20170038";"80";"4"
"20170039";"690";"1"
"20170039";"159.12";"2"
"20170039";"930";"3"
"20170039";"80";"4"
"20170040";"490";"1"
"20170040";"229.18";"2"
"20170040";"540";"3"
"20170040";"40";"4"
"20170041";"510";"1"
"20170041";"221.03";"2"
"20170041";"920";"3"
"20170041";"150";"4"
"20170042";"720";"1"
"20170042";"240.5";"2"
"20170042";"750";"3"
"20170042";"220";"4"
"20170043";"400";"1"
"20170043";"201.6";"2"
"20170043";"620";"3"
"20170043";"160";"4"
